nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Shoji Sushi,"2035A, rue Victoria",Saint-Lambert,Brossard,(450) 672-5888,2,Japonaise,Sushi,Fusion,Grillades,Asiatique,,
Miso Restaurant & Sushi Bar,"4000, rue Ste-Catherine O",Westmount,Centre-ville,(514) 908-6476,2.5,Japonaise,Sushi,Asiatique,Fusion,,,
Tapeo Bar à Tapas,"511, rue Villeray",Villeray-Saint-Michel,,(514) 495-1999,3,Tapas,Espagnole,Méditerranéenne,Tartare,,,
La Queue de Cheval Steakhouse & Angry Lobster Seafood Lounge,"1181, rue de la Montagne",Centre-ville,,(514) 390-0091,4,Steakhouse,Fruits de mer/Poissons,Burgers,,,,
Le Balcon Cabaret Music-Hall,"463, rue Sainte-Catherine O.",Centre-ville,Quartier des Spectacles,(514) 528-9766,2,Marché,Internationale,Fusion,Créative,,,
Da Vinci,"1180, rue Bishop",Centre-ville,,(514) 874-2001,3,Italienne,Fruits de mer/Poissons,Méditerranéenne,Contemporaine/Moderne,Grillades,,
Café Saint-Paul,"345, boul. Taschereau",La Prairie,,(450) 907-4667,1.5,Bistro,Grillades,Burgers,Fish & Chips,Pâtes,Poutine,Salades
Bistro V,"1463, boul. Lionel-Boulet, local 104",Varennes,,(450) 985-1421,3,Bistro,Du Terroir,,,,,
Bon-D,"3036, rue Masson",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 721-2233,1.5,Café,Déjeuner,Internationale,Marché,Tapas,Créative,Tartare
Texas Star,"300, rue Terry Fox",Saint-Eustache,,(450) 623-6400,1.5,Steakhouse,Mexicaine,Grillades,Burgers,,,
Aux Lilas,"5570, ave. du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 271-1453,1,Libanaise,Moyen Orientale,Végétarienne,Méditerranéenne,,,
La Bonne Adresse,"7001, boul. des Galeries d'Anjou",Anjou-St-Léonard,,(514) 354-1138,2.5,Française,Fruits de mer/Poissons,Pâtes,Salades,,,
Bistro De La Gare,"287, Chemin de la Grande-Côte (Gare de Rosemère)",Rosemère,,(450) 971-1655,1.5,Bistro,Pizza,Sandwichs,Burgers,Déjeuner,Café,Italienne
Bier Markt,"1221, boul. René-Lévesque",Centre-ville,,(514) 864-7575,2.5,Française,Allemande,Burgers,Poutine,Salades,Grillades,Américaine
Marash,"2019, rue Lapierre",Verdun/Lasalle,,(514) 366-9090,1,Turque,Desserts et Sucreries,Café,Méditerranéenne,Déjeuner,Crème glacée,
La Perle Noire,"4190, boul. Grande-Allée",Greenfield Park,Longueuil,(450) 462-9899,1.5,Vietnamienne,Thaïlandaise,Asiatique,,,,
Shish Taouk Wellington,"3876, rue Wellington",Verdun/Lasalle,,(514) 767-6994,1,Libanaise,Méditerranéenne,Moyen Orientale,Halal,Végétarienne,,
Le Local,"740, rue William",Vieux-Montréal,,(514) 397-7737,4,Bistro,Française,Du Terroir,Marché,Tartare,,
La Petite Mangue,"300, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 288-8390,1.5,Cambodgienne,Asiatique,Fusion,,,,
Accords le Bistro,"22, rue Ste-Catherine E",Centre-ville,Quartier des Spectacles,(514) 508-2122,2,Du Terroir,Bistro,Contemporaine/Moderne,Réconfort,Marché,,
Le Fagotin,"5243, chemin de Chambly",Saint-Hubert,Longueuil,(450) 678-9125,2.5,Fusion,Française,Marché,Du Terroir,Fruits de mer/Poissons,Tartare,
La Tomate Blanche,"9385, boul. Leduc",Quartier Dix30,Brossard,(450) 445-1033,3,Italienne,Du Terroir,,,,,
Le Tonkin,"6542, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 227-7221,1,Vietnamienne,Szechuannaise,Thaïlandaise,Asiatique,,,
Pizzeria Napoletana,"189, rue Dante",Petite-Italie,Rosemont-Petite-Patrie,(514) 276-8226,1.5,Italienne,Pizza,,,,,
Cibo & Vino,"1228, rue Stanley",Centre-ville,,(514) 954-4477,2,Italienne,Bistro,,,,,
Le Saint-Sau Pub Gourmand,"236, rue Principale",Saint-Sauveur,,(450) 227-0218,2.5,Pub Food,Bistro,Poutine,Fish & Chips,Salades,Burgers,Tartare
Le Café Arabe,"256, rue St-Paul E",Vieux-Montréal,,(514) 861-1989,2.5,Moyen Orientale,Africaine,,,,,
Le Mista,"955, rue Laurier",Beloeil,,(450) 600-1451,2.5,Italienne,Méditerranéenne,Pâtes,Santé,Végétarienne,,
Bistro L'interprète,"271, rue Notre-Dame",Repentigny,,(450) 704-6454,1.5,Bistro,Française,Réconfort,Grillades,Burgers,Pâtes,Tartare
Première Bouchée,"6705, ave. Papineau",Rosemont-Petite-Patrie,Villeray-Saint-Michel,(514) 376-8989,1,Déjeuner,Réconfort,Burgers,Sandwichs,,,
Rodízio Brasil,"160, rue Notre-Dame E",Vieux-Montréal,,(514) 508-3883,2,Brésilienne,Portugaise,Latino Américaine,Grillades,,,
Le Fin Palais,"379, boul. Adolphe-Chapleau",Bois-des-Filion,,(450) 621-0891,2.5,Française,Fondue,Gibier Sauvage,Fruits de mer/Poissons,Grillades,Tartare,
Osco! (InterContinental Montreal),"360, rue St-Antoine O",Vieux-Montréal,,(514) 847-8729,2.5,Française,Internationale,Méditerranéenne,Grillades,Déjeuner,Tartare,
MooSoo Sushi,"4059, boul. St-Jean",Dollard-des-Ormeaux,,(514) 675-1880,1,Sushi,Japonaise,Fusion,Créative,,,
HELM microbrasserie,"273, ave. Bernard O",Mile-End,Le Plateau-Mont-Royal,(514) 276-0473,2,Bistro,Tapas,Du Terroir,Marché,,,
Zante,"9030, boul. de l'Acadie",Ahuntsic-Cartierville,,(514) 389-2683,3,Grecque,Fruits de mer/Poissons,Grillades,Méditerranéenne,,,
Le Poisson Rouge,"1201, rue Rachel",Le Plateau-Mont-Royal,,(514) 522-4876,3.5,Française,Fusion,Fruits de mer/Poissons,Marché,Du Terroir,Tartare,
SIX Resto Lounge,"1255, rue Jeanne Mance",Centre-ville,Quartier des Spectacles,(514) 809-0024,2.5,Du Terroir,Créative,Contemporaine/Moderne,,,,
Kitchenette,"1353, boul. René Lévesque E",Le Village/Centre Sud,,(514) 527-1016,3.5,Française,Fruits de mer/Poissons,Tartare,Créative,,,
Escondite,"1206, rue Union",Centre-ville,Quartier des Spectacles,(514) 419-9755,1,Mexicaine,Latino Américaine,Tapas,Fruits de mer/Poissons,,,
Casa Vinho,"3750, rue Masson",Rosemont-Petite-Patrie,,(514) 721-8885,2,Portugaise,Grillades,Fruits de mer/Poissons,,,,
